SEARCHVAL,coordinates,Nearest School,Neareset School Coordinates,Nearest School Distance,Raffles MRT Coords,Time To City,Nearest Malls,Nearest Mall Distance,Nearest MRT,Nearest MRT Distance,Original Nameds
643 HOUGANG AVENUE 8 SINGAPORE 530643,"1.37154552599116,103.880619942257",XINMIN PRIMARY SCHOOL,"1.37139548941931,103.883080767491",339,"1.28393326234538,103.851463066212",41.85,HOUGANG 1,749,HOUGANG MRT STATION (NE14),1593,643 HOUGANG AVE 8
643 JURONG WEST STREET 61 SINGAPORE 640643,"1.33925229393405,103.695690186551",JURONG WEST PRIMARY SCHOOL,"1.33917519796104,103.698803732244",536,"1.28393326234538,103.851463066212",38.98333333,PIONEER MALL,410,PIONEER MRT STATION (EW28),354,643 JURONG WEST ST 61
643 PASIR RIS DRIVE 10 SINGAPORE 510643,"1.37775639575708,103.937965154187",PARK VIEW PRIMARY SCHOOL,"1.37738069854249,103.939541695654",268,"1.28393326234538,103.851463066212",43.45,ELIAS MALL,1035,PASIR RIS MRT STATION (EW1),1660,643 PASIR RIS DR 10
EASTDALE,"1.39731946011017,103.916018571836",WATERWAY PRIMARY SCHOOL,"1.39882800626578,103.918621581556",689,"1.28393326234538,103.851463066212",40.23333333,PUNGGOL PLAZA,715,PUNGGOL COAST MRT STATION (NE18),2588,643 PUNGGOL CTRL
643 WOODLANDS RING ROAD SINGAPORE 730643,"1.437696282095,103.801568874084",GREENWOOD PRIMARY SCHOOL,"1.43989958331782,103.804725587384",478,"1.28393326234538,103.851463066212",47.16666667,ADMIRALTY PLACE,244,ADMIRALTY MRT STATION (NS10),398,643 WOODLANDS RING RD
643 YISHUN STREET 61 SINGAPORE 760643,"1.42133515867973,103.837436986724",NORTHLAND PRIMARY SCHOOL,"1.42096989918951,103.840928424929",604,"1.28393326234538,103.851463066212",38.46666667,WISTERIA MALL,748,KHATIB MRT STATION (NS14),924,643 YISHUN ST 61
ANG MO KIO 61,"1.37914986228487,103.84093819913",ANDERSON PRIMARY SCHOOL,"1.38426429436736,103.841392081119",818,"1.28393326234538,103.851463066212",31.11666667,BROADWAY PLAZA,1314,YIO CHU KANG MRT STATION (NS15),713,644 ANG MO KIO AVE 4
EUNOS TENAGA VILLE,"1.33069532832257,103.90562160069",MAHA BODHI SCHOOL,"1.32847086658384,103.901298737314",720,"1.28393326234538,103.851463066212",28.48333333,SINGAPORE POST CENTRE,2708,KAKI BUKIT MRT STATION (DT28),866,644 BEDOK RESERVOIR RD
644 HOUGANG AVENUE 8 SINGAPORE 530644,"1.37143736463903,103.88126107892",XINMIN PRIMARY SCHOOL,"1.37139548941931,103.883080767491",265,"1.28393326234538,103.851463066212",41.05,HOUGANG 1,822,HOUGANG MRT STATION (NE14),1520,644 HOUGANG AVE 8
644 JURONG WEST STREET 61 SINGAPORE 640644,"1.33959189050404,103.696357637705",JURONG WEST PRIMARY SCHOOL,"1.33917519796104,103.698803732244",448,"1.28393326234538,103.851463066212",38.73333333,PIONEER MALL,361,PIONEER MRT STATION (EW28),404,644 JURONG WEST ST 61
