,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,combined_blk_street_name,oneMapAPI_Name,time_to_city,nearest_mall,nearest_school,nearest_mrt,storey,town_premium,flat_model_premium
45,2021-05,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,01 TO 03,31.0,Improved,1975,52,190000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,2,0.0,0.0
46,2021-06,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,07 TO 09,31.0,Improved,1975,52,205000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,8,0.0,0.0
47,2021-07,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,10 TO 12,31.0,Improved,1975,52,220000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,11,0.0,0.0
48,2022-03,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,04 TO 06,31.0,Improved,1975,52,202000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,5,0.0,0.0
49,2022-03,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,07 TO 09,31.0,Improved,1975,52,228000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,8,0.0,0.0
50,2022-05,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,01 TO 03,31.0,Improved,1975,51,230000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,2,0.0,0.0
51,2022-05,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,07 TO 09,31.0,Improved,1975,51,227000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,8,0.0,0.0
52,2022-06,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,01 TO 03,31.0,Improved,1975,51,248000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,2,0.0,0.0
53,2022-07,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,07 TO 09,31.0,Improved,1975,51,240000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,8,0.0,0.0
54,2022-07,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,10 TO 12,31.0,Improved,1975,51,235000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,11,0.0,0.0
55,2022-07,BUKIT MERAH,1 ROOM,7,TELOK BLANGAH CRES,01 TO 03,31.0,Improved,1975,51,230000.0,7 TELOK BLANGAH CRES,7 TELOK BLANGAH CRESCENT SINGAPORE 090007,22.58333333,1876,1040,1862,2,0.0,0.0
