,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,combined_blk_street_name,oneMapAPI_Name,time_to_city,nearest_mall,nearest_school,nearest_mrt,storey,town_premium,flat_model_premium
55,2017-08,BEDOK,EXECUTIVE,10D,BEDOK STH AVE 2,19 TO 21,143.0,Apartment,1995,77,870000.0,10D BEDOK STH AVE 2,10D BEDOK SOUTH AVENUE 2 SINGAPORE 463010,32.35,1285,409,1585,20,40000.0,-62000.0
56,2017-09,BEDOK,EXECUTIVE,634,BEDOK RESERVOIR RD,16 TO 18,142.0,Apartment,1993,74,730000.0,634 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,17,40000.0,-62000.0
57,2017-10,BEDOK,EXECUTIVE,661,JLN DAMAI,07 TO 09,143.0,Apartment,1996,78,705000.0,661 JLN DAMAI,EUNOS DAMAI VILLE,26.7,2945,458,581,8,40000.0,-62000.0
58,2017-11,BEDOK,EXECUTIVE,643,BEDOK RESERVOIR RD,04 TO 06,145.0,Apartment,1993,74,660000.0,643 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,5,40000.0,-62000.0
59,2017-11,BEDOK,EXECUTIVE,661,JLN DAMAI,07 TO 09,145.0,Apartment,1996,78,718000.0,661 JLN DAMAI,EUNOS DAMAI VILLE,26.7,2945,458,581,8,40000.0,-62000.0
60,2017-11,BEDOK,EXECUTIVE,636,BEDOK RESERVOIR RD,13 TO 15,142.0,Apartment,1993,74,750000.0,636 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,14,40000.0,-62000.0
61,2017-12,BEDOK,EXECUTIVE,94B,BEDOK NTH AVE 4,01 TO 03,141.0,Apartment,1993,74,650000.0,94B BEDOK NTH AVE 4,94B BEDOK NORTH AVENUE 4 SINGAPORE 461094,32.3,2390,295,1099,2,40000.0,-62000.0
62,2017-12,BEDOK,EXECUTIVE,639,BEDOK RESERVOIR RD,01 TO 03,143.0,Apartment,1993,75,680000.0,639 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,2,40000.0,-62000.0
63,2017-12,BEDOK,EXECUTIVE,629,BEDOK RESERVOIR RD,04 TO 06,165.0,Apartment,1993,74,808080.0,629 BEDOK RESERVOIR RD,EUNOS HEIGHTS,29.81666667,2044,831,260,5,40000.0,-62000.0
64,2017-12,BEDOK,EXECUTIVE,661,JLN DAMAI,07 TO 09,143.0,Apartment,1996,78,703000.0,661 JLN DAMAI,EUNOS DAMAI VILLE,26.7,2945,458,581,8,40000.0,-62000.0
65,2018-01,BEDOK,EXECUTIVE,639,BEDOK RESERVOIR RD,01 TO 03,143.0,Apartment,1993,74,630000.0,639 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,2,40000.0,-62000.0
66,2018-01,BEDOK,EXECUTIVE,634,BEDOK RESERVOIR RD,10 TO 12,143.0,Apartment,1993,74,740000.0,634 BEDOK RESERVOIR RD,EUNOS TENAGA VILLE,27.68333333,2652,664,922,11,40000.0,-62000.0
67,2018-01,BEDOK,EXECUTIVE,663,JLN DAMAI,04 TO 06,143.0,Apartment,1996,77,770000.0,663 JLN DAMAI,EUNOS DAMAI VILLE,26.7,2945,458,581,5,40000.0,-62000.0
68,2018-02,BEDOK,EXECUTIVE,137,BEDOK RESERVOIR RD,04 TO 06,150.0,Apartment,1987,68,645000.0,137 BEDOK RESERVOIR RD,EUNOS SPRING,27.63333333,2602,225,551,5,40000.0,-62000.0
